 X ,YCOO, ZCOO ,SCAL
  1.050000000000000E-004 ,  6.000000000000000E-006 , 0,  2.492602387309494E-006
  1.050000000000000E-004 ,  9.999999999999999E-006 , 0,  4.278099050203702E-006
  1.050000000000000E-004 ,  1.400000000000000E-005 , 0,  6.055618453338004E-006
  1.050000000000000E-004 ,  1.800000000000000E-005 , 0,  7.838099614942614E-006
  1.050000000000000E-004 ,  2.200000000000000E-005 , 0,  9.633008720364180E-006
  1.050000000000000E-004 ,  2.600000000000000E-005 , 0,  1.144652573817179E-005
  1.050000000000000E-004 ,  3.000000000000000E-005 , 0,  1.328890731874935E-005
  1.050000000000000E-004 ,  3.400000000000000E-005 , 0,  8.540347490978915E-004
  1.050000000000000E-004 ,  3.800000000000000E-005 , 0,  6.875047394975624E-003
  1.050000000000000E-004 ,  4.200000000000000E-005 , 0,  1.013546097766455E-002
  1.050000000000000E-004 ,  4.700000000000000E-005 , 0,  1.251164099535401E-002
  1.050000000000000E-004 ,  5.450000000000000E-005 , 0,  1.559428518412995E-002
  1.050000000000000E-004 ,  6.549999999999999E-005 , 0,  2.083029353416853E-002
  1.050000000000000E-004 ,  8.150000000000000E-005 , 0,  2.698046344820719E-002
  1.050000000000000E-004 ,  1.050000000000000E-004 , 0,  2.846024663260596E-002
  1.050000000000000E-004 ,  1.400000000000000E-004 , 0,  2.880488183300685E-002
  1.050000000000000E-004 ,  1.955000000000000E-004 , 0,  2.888447945581185E-002
  1.050000000000000E-004 ,  2.650000000000000E-004 , 0,  2.890554378309833E-002
  1.400000000000000E-004 ,  2.000000000000000E-006 , 0,  2.007163794490972E-007
  1.400000000000000E-004 ,  6.000000000000000E-006 , 0,  2.753040898917581E-006
  1.400000000000000E-004 ,  9.999999999999999E-006 , 0,  4.717521157733812E-006
  1.400000000000000E-004 ,  1.400000000000000E-005 , 0,  6.664823132931778E-006
  1.400000000000000E-004 ,  1.800000000000000E-005 , 0,  8.605956221785763E-006
  1.400000000000000E-004 ,  2.200000000000000E-005 , 0,  1.054569761564376E-005
  1.400000000000000E-004 ,  2.600000000000000E-005 , 0,  1.248793086287727E-005
  1.400000000000000E-004 ,  3.000000000000000E-005 , 0,  1.443599671506301E-005
  1.400000000000000E-004 ,  3.400000000000000E-005 , 0,  3.011624385673681E-005
  1.400000000000000E-004 ,  3.800000000000000E-005 , 0,  3.286057706359774E-003
  1.400000000000000E-004 ,  4.200000000000000E-005 , 0,  9.654131446107553E-003
  1.400000000000000E-004 ,  4.700000000000000E-005 , 0,  1.295499847123131E-002
  1.400000000000000E-004 ,  5.450000000000000E-005 , 0,  1.611354335559163E-002
  1.400000000000000E-004 ,  6.549999999999999E-005 , 0,  2.138604564677590E-002
  1.400000000000000E-004 ,  8.150000000000000E-005 , 0,  2.732524154677128E-002
  1.400000000000000E-004 ,  1.050000000000000E-004 , 0,  2.880487554284233E-002
  1.400000000000000E-004 ,  1.400000000000000E-004 , 0,  2.927504325630504E-002
  1.400000000000000E-004 ,  1.955000000000000E-004 , 0,  2.944103923381571E-002
  1.400000000000000E-004 ,  2.650000000000000E-004 , 0,  2.948930066900966E-002
  1.955000000000000E-004 ,  2.000000000000000E-006 , 0,  2.076596747093576E-007
